"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"SEC-HAZ-001","T-09","Pump controller","Process","Controls or actuates therapy / diagnosis","S","Spoofing","Therapy commands to Pump controller are not proven to come from a legitimate source","Over-infusion of a high-alert medication. The controller drives the actuator directly, so any altered rate or programme becomes delivered therapy within one pump cycle.","Unintended therapy is delivered to the patient — wrong dose, wrong rate, wrong energy, or delivery to the wrong patient.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Authenticate every command source cryptographically (mutual TLS, signed commands); network position is not identity. | Bind commands to a session, a patient context and a monotonic sequence number so replayed or injected commands are rejected. | Require confirmation at the device for changes that increase delivered therapy.","","HAZ-001, HAZ-004, RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-002","T-10","Pump controller","Process","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Pump controller can be altered without detection","Over-infusion of a high-alert medication. The controller drives the actuator directly, so any altered rate or programme becomes delivered therapy within one pump cycle.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","CVSS:4.0/AV:A/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:H/SC:N/SI:H/SA:H/S:P/AU:Y","9.4","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","HAZ-001, HAZ-004, RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-003","T-11","Pump controller","Process","Controls or actuates therapy / diagnosis","E","Elevation of privilege","Therapy control functions in Pump controller are reachable without a clinical authorisation decision","Over-infusion of a high-alert medication. The controller drives the actuator directly, so any altered rate or programme becomes delivered therapy within one pump cycle.","Someone with no clinical authority, or malware acting as them, changes the therapy a patient is receiving.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Separate therapy-control operations behind their own authorisation, deny by default, and require a clinical role. | Require step-up authentication or a second person for high-consequence changes. | Log every therapy-control call with the authenticated identity and the resulting parameter change.","","HAZ-001, HAZ-004, RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-004","T-12","Pump controller","Process","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of Pump controller removes control of therapy","Over-infusion of a high-alert medication. The controller drives the actuator directly, so any altered rate or programme becomes delivered therapy within one pump cycle.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","","HAZ-001, HAZ-004, RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-005","T-13","Pump controller","Process","Controls or actuates therapy / diagnosis","R","Repudiation","Therapy changes at Pump controller cannot be reconstructed afterwards","Over-infusion of a high-alert medication. The controller drives the actuator directly, so any altered rate or programme becomes delivered therapy within one pump cycle.","A harmful setting cannot be traced, so the same hazard recurs; incident investigation, vigilance reporting and clinical defence all fail.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Keep an append-only therapy audit trail: identity, timestamp, previous and new value, patient context and outcome. | Retain it for the period your vigilance and post-market surveillance obligations require. | Make sure the device keeps this record locally even when disconnected.","","HAZ-001, HAZ-004, RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-006","T-19","Dose limit interlock","Process","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Dose limit interlock can be modified","This is the last barrier between a wrong programmed dose and the patient. If its limits are widened, or it does not get to run, nothing else stops an unsafe infusion.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","RC-011, RC-012","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-007","T-20","Dose limit interlock","Process","Implements a safety stop, interlock or limit","E","Elevation of privilege","The safety stop in Dose limit interlock can be overridden without proper authority","This is the last barrier between a wrong programmed dose and the patient. If its limits are widened, or it does not get to run, nothing else stops an unsafe infusion.","The protective stop is bypassed and the patient is exposed to exactly the hazard it was implemented to control.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Require a distinct, strongly authenticated role for any override, with per-use authorisation rather than a mode that stays on. | Make overrides time-boxed and self-expiring, and annunciate continuously while one is active. | Log every override with identity, reason and duration, and review them as a safety signal. | Remove service backdoors and default maintenance credentials from production devices.","","RC-011, RC-012","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-008","T-21","Dose limit interlock","Process","Implements a safety stop, interlock or limit","D","Denial of service","The safety stop in Dose limit interlock may not run when it is needed","This is the last barrier between a wrong programmed dose and the patient. If its limits are widened, or it does not get to run, nothing else stops an unsafe infusion.","The device continues in an unsafe state because the mechanism that should have stopped it never ran.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Run the safety monitor independently of the application: separate task, separate watchdog, ideally separate processor. | Give it a guaranteed execution budget that untrusted work cannot consume, and a hardware watchdog behind it. | Design the failure direction deliberately: on loss of the monitor, the device goes to the safe state rather than continuing. | Test the interlock under load and under attack conditions, not only on an idle bench.","","RC-011, RC-012","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-009","T-28","Alarm manager","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Alarm manager can be tampered with","Occlusion, air-in-line and infusion-complete alarms. A suppressed alarm means deterioration goes unnoticed; injected false alarms cause alarm fatigue on the ward.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-010","T-29","Alarm manager","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Alarm manager can be blocked, delayed or flooded","Occlusion, air-in-line and infusion-complete alarms. A suppressed alarm means deterioration goes unnoticed; injected false alarms cause alarm fatigue on the ward.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
