"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"","","Clinician / caregiver","Entity","Produces clinical data used for decisions; Generates, carries or displays alarms","","","No security threat raised by the model","The clinician doses insulin and responds to lows based on what the console/kiosk shows. Wrong or missing readings and suppressed alarms lead to a wrong or withheld clinical decision.","","Serious — injury needing professional intervention","not set","","","","","","SEC-HAZ-004","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-001","T-16","Web admin console (Flask)","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at Web admin console (Flask) can be altered or substituted","The console is where a clinician reads glucose trends and acknowledges alarms; a compromise that alters what it shows biases a dosing decision.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","SQLite-backed login with a STRONG admin password, a server-side kiosk PIN, and a 5-failure/5-min login lockout. But: the SQL is string-built (SQLi auth bypass), /admin/export joins the path with no containment (traversal leaks cgm.conf), the lockout is keyed on the spoofable X-Forwarded-For header, and app.secret_key is a rockyou word (forgeable session -> IDOR on /patient/1001-1005).","SEC-HAZ-002, RC-021","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-002","T-17","Web admin console (Flask)","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from Web admin console (Flask) may be unavailable when a decision has to be made","The console is where a clinician reads glucose trends and acknowledges alarms; a compromise that alters what it shows biases a dosing decision.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","SQLite-backed login with a STRONG admin password, a server-side kiosk PIN, and a 5-failure/5-min login lockout. But: the SQL is string-built (SQLi auth bypass), /admin/export joins the path with no containment (traversal leaks cgm.conf), the lockout is keyed on the spoofable X-Forwarded-For header, and app.secret_key is a rockyou word (forgeable session -> IDOR on /patient/1001-1005).","SEC-HAZ-002, RC-021","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-003","T-24","HL7 MLLP listener","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at HL7 MLLP listener can be altered or substituted","Discloses per-patient glucose results and the device serial to any HL7 speaker; wrong or leaked results can misinform a downstream clinical decision.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Minor — temporary injury, no professional intervention","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","Requires a properly MLLP-framed QRY^Q01 naming a valid MRN and NAKs the rest. But input SHAPE is not access control: no authentication, no TLS, no peer allow-list -> any HL7 speaker gets PHI, and MSH-3 leaks the BLE XOR key.","SEC-HAZ-005","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-004","T-25","HL7 MLLP listener","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from HL7 MLLP listener may be unavailable when a decision has to be made","Discloses per-patient glucose results and the device serial to any HL7 speaker; wrong or leaked results can misinform a downstream clinical decision.","Treatment is delayed, or a decision is made without information that was available yesterday.","Minor — temporary injury, no professional intervention","Class B — non-serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","Requires a properly MLLP-framed QRY^Q01 naming a valid MRN and NAKs the rest. But input SHAPE is not access control: no authentication, no TLS, no peer allow-list -> any HL7 speaker gets PHI, and MSH-3 leaks the BLE XOR key.","SEC-HAZ-005","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-005","T-31","MQTT broker (mosquitto)","Process","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by MQTT broker (mosquitto) can be altered without detection","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-006","T-32","MQTT broker (mosquitto)","Process","Controls or actuates therapy / diagnosis","E","Elevation of privilege","Therapy control functions in MQTT broker (mosquitto) are reachable without a clinical authorisation decision","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","Someone with no clinical authority, or malware acting as them, changes the therapy a patient is receiving.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Separate therapy-control operations behind their own authorisation, deny by default, and require a clinical role. | Require step-up authentication or a second person for high-consequence changes. | Log every therapy-control call with the authenticated identity and the resulting parameter change.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-007","T-33","MQTT broker (mosquitto)","Process","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of MQTT broker (mosquitto) removes control of therapy","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-008","T-34","MQTT broker (mosquitto)","Process","Controls or actuates therapy / diagnosis","R","Repudiation","Therapy changes at MQTT broker (mosquitto) cannot be reconstructed afterwards","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","A harmful setting cannot be traced, so the same hazard recurs; incident investigation, vigilance reporting and clinical defence all fail.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Keep an append-only therapy audit trail: identity, timestamp, previous and new value, patient context and outcome. | Retain it for the period your vigilance and post-market surveillance obligations require. | Make sure the device keeps this record locally even when disconnected.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-009","T-35","MQTT broker (mosquitto)","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at MQTT broker (mosquitto) can be tampered with","A recovered credential can WRITE glucose/# even though it cannot READ it: a forged 'IN_RANGE' reading masks a true hypoglycaemia, suppresses its alarm, and drives an automated-delivery / dosing decision toward under-treatment.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","HIGH","CVSS:4.0/AV:A/AC:L/AT:N/PR:L/UI:N/VC:N/VI:H/VA:N/SC:N/SI:H/SA:H","8.7","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","allow_anonymous false + a password + a per-topic ACL (least privilege attempted). But the password (glucose123) leaks via the config traversal and is weak; the ACL grants cgmpub WRITE on glucose/# with no READ -> eavesdrop denied but forged-reading INJECTION allowed; and cgm/service/# is readable, exposing a retained flag.","SEC-HAZ-001, RC-011, RC-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
